customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges_Monthly,account_Charges_Total,Contas_Diarias
0015-UOCOJ,False,Female,1,No,No,7,Yes,False,DSL,True,False,False,False,False,False,Month-to-month,Yes,Electronic check,48.2,340.35,1.61
0018-NYROU,False,Female,0,Yes,No,5,Yes,False,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,68.95,351.5,2.3
0021-IKXGC,False,Female,1,No,No,1,Yes,True,Fiber optic,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,72.1,72.1,2.4
0027-KWYKW,False,Female,0,Yes,Yes,23,Yes,True,Fiber optic,False,False,False,False,True,False,Month-to-month,Yes,Electronic check,83.75,1849.95,2.79
0060-FUALY,False,Female,0,Yes,No,59,Yes,True,Fiber optic,True,True,False,False,True,False,Month-to-month,Yes,Electronic check,94.75,5597.65,3.16
0093-EXYQL,False,Female,1,No,No,40,Yes,False,Fiber optic,False,False,False,False,True,True,Month-to-month,Yes,Electronic check,91.55,3673.6,3.05
0096-BXERS,False,Female,0,Yes,No,6,Yes,True,DSL,False,False,False,False,False,False,Month-to-month,No,Electronic check,50.35,314.55,1.68
0114-PEGZZ,False,Female,0,No,No,33,Yes,True,Fiber optic,False,True,True,False,True,True,Month-to-month,No,Electronic check,107.55,3645.5,3.58
0139-IVFJG,False,Female,0,Yes,No,2,Yes,False,Fiber optic,True,True,False,False,True,False,Month-to-month,No,Electronic check,90.35,190.5,3.01
0147-ESWWR,False,Female,1,Yes,No,39,Yes,True,Fiber optic,False,False,False,True,True,True,Month-to-month,Yes,Electronic check,101.25,3949.15,3.38
0168-XZKBB,False,Female,0,Yes,No,19,Yes,True,Fiber optic,False,False,False,False,True,False,Month-to-month,Yes,Electronic check,86.85,1564.4,2.9
0212-ISBBF,False,Female,0,No,No,22,No,False,DSL,False,True,False,False,True,True,Month-to-month,Yes,Electronic check,50.35,1098.85,1.68
0224-RLWWD,False,Female,1,No,No,2,Yes,False,DSL,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,44.3,89.3,1.48
0248-IPDFW,False,Female,0,No,No,1,Yes,True,DSL,False,False,False,False,False,False,Month-to-month,Yes,Electronic check,50.1,50.1,1.67
0289-IVARM,False,Female,0,No,No,35,Yes,False,DSL,True,True,True,False,False,False,Month-to-month,No,Electronic check,60.55,1982.6,2.02
